ID,Source,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
1,Proxy,Fri Oct 24 09:19:02 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,217,1858,Low,false,
3,Proxy,Fri Oct 24 09:19:13 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,173,1858,Low,false,
4,Proxy,Fri Oct 24 09:19:55 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,110,1858,Low,false,
5,Proxy,Fri Oct 24 09:20:23 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,175,1858,Low,false,
6,Proxy,Fri Oct 24 09:20:32 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,172,1858,Low,false,
7,Proxy,Fri Oct 24 09:20:56 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,236,1858,Low,false,
8,Proxy,Fri Oct 24 09:21:34 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,177,1858,Low,false,
9,Proxy,Fri Oct 24 09:21:43 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,174,1858,Low,false,
10,Proxy,Fri Oct 24 09:21:57 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,177,1858,Low,false,
11,Proxy,Fri Oct 24 09:22:45 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,559,1858,Low,false,
12,Proxy,Fri Oct 24 09:22:58 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,111,1858,Low,false,
13,Proxy,Fri Oct 24 09:23:46 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,107,1858,Low,false,
14,Proxy,Fri Oct 24 09:23:59 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,114,1858,Low,false,
15,Proxy,Fri Oct 24 09:24:46 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,109,1858,Low,false,
16,Proxy,Fri Oct 24 09:25:48 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,170,1858,Low,false,
17,Proxy,Fri Oct 24 09:26:03 EDT 2025,GET,http://192.168.100.20/dvwa,301,Moved Permanently,21,320,Low,false,
19,Proxy,Fri Oct 24 09:26:03 EDT 2025,GET,http://192.168.100.20/dvwa/,302,Found,15,0,,false,
21,Proxy,Fri Oct 24 09:26:03 EDT 2025,GET,http://192.168.100.20/dvwa/login.php,200,OK,16,1289,Medium,false,"Form, Password, Comment"
22,Proxy,Fri Oct 24 09:26:04 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/css/login.css,200,OK,14,608,Low,false,
27,Proxy,Fri Oct 24 09:26:35 EDT 2025,POST,http://oneocsp.microsoft.com/ocsp,200,OK,168,1858,Low,false,
28,Proxy,Fri Oct 24 09:26:37 EDT 2025,POST,http://192.168.100.20/dvwa/login.php,302,Found,34,0,Low,false,
29,Proxy,Fri Oct 24 09:26:38 EDT 2025,GET,http://192.168.100.20/dvwa/index.php,200,OK,21,4585,,false,
30,Proxy,Fri Oct 24 09:26:38 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/css/main.css,200,OK,29,3945,Low,false,
31,Proxy,Fri Oct 24 09:26:38 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/js/dvwaPage.js,200,OK,21,775,,false,
35,Proxy,Fri Oct 24 09:28:01 EDT 2025,GET,http://192.168.100.20/dvwa/security.php,200,OK,20,4106,Medium,false,"Form, Script"
36,Proxy,Fri Oct 24 09:28:01 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/css/main.css,304,Not Modified,5,0,Low,false,
37,Proxy,Fri Oct 24 09:28:01 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/js/dvwaPage.js,304,Not Modified,11,0,Low,false,
39,Proxy,Fri Oct 24 09:28:04 EDT 2025,POST,http://192.168.100.20/dvwa/security.php,302,Found,14,0,Low,false,SetCookie
40,Proxy,Fri Oct 24 09:28:04 EDT 2025,GET,http://192.168.100.20/dvwa/security.php,200,OK,14,4187,,false,
41,Proxy,Fri Oct 24 09:28:04 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/css/main.css,304,Not Modified,2,0,Low,false,
42,Proxy,Fri Oct 24 09:28:04 EDT 2025,GET,http://192.168.100.20/dvwa/dvwa/js/dvwaPage.js,304,Not Modified,9,0,,false,
